,words,rating,tips,tips_code,steps,step_code,tips_groups,tips_groups_code
0,60 000 sperms and you won ?,0,"comparison,provocation",105,facts,4,"provocation,judgemental",145
1,a 2014 study examined the effects of combined nvc and mindfulness training on 885 male inmates of the monroe correctional complex in monroe washington,4,fact,208,facts,4,fact,56
2,a big guy like you needs to stand up for himself,1,"labelling,reproach",406,facts,4,"judgemental,fault",89
3,a cheetah the fastest land animal can run 70 miles an hour,4,fact,208,facts,4,fact,56
4,a combination of words that makes sense is called a sentence,4,fact,208,facts,4,fact,56
5,a door would have more charisma than you,0,"labelling,provocation",401,facts,4,"provocation,judgemental",145
6,a group of words which makes a complete sense is called a sentence,4,fact,208,facts,4,fact,56
7,a little hello and kiss from our son,4,"fact,empathy",213,facts,4,"empathy,fact",13
8,a lot of people think like you but you have to be forgiving it s not an easy job,2,"generalisation,empathy",310,facts,4,"empathy,judgemental",29
9,a nurse is ten times more likely to have chronic low back pain at age 40 than an office executive,4,fact,208,facts,4,fact,56
10,a piece of my heart is missing when you re not with me,4,selfempathy,609,facts,4,feeling,72
11,a stranger offered me a large sum of money for a small favour,4,fact,208,facts,4,fact,56
12,a thief that s what you are,0,"labelling,reproach",406,facts,4,"judgemental,fault",89
13,a trespasser that s what you are,0,"labelling,reproach",406,facts,4,"judgemental,fault",89
14,a variety of benefits were reported including conversations and meetings were notably more efficient with issues being resolved in 50 80 percent less time,4,fact,208,facts,4,fact,56
15,a vibrating duck is a bath toy right ?,4,clarity,86,facts,4,empathy,11
16,a woman does not have the balls to succeed in this business,0,"generalisation,morality",322,facts,4,judgemental,87
17,about twenty years ago our big game was to have sex at night in telephone booths,4,fact,208,facts,4,fact,56
18,you re tall you re strong you must not think you ve got tendencies because you play tennis with a faggot,1,"morality,provocation",437,facts,4,"provocation,judgemental",145
19,abstract art is crap for snobs,1,"generalisation,provocation",330,facts,4,"provocation,judgemental",145
20,according to the gps it will take us 1 hour to drive to our friends house,4,fact,208,facts,4,fact,56
21,according to this article the volcanoes in auvergne are not dangerous,4,fact,208,facts,4,fact,56
22,according to wikipedia paris is the capital of france,4,fact,208,facts,4,fact,56
23,according to wikipedia potatoes are not vegetables,4,fact,208,facts,4,fact,56
24,act like you re shocked mr puritan,2,"labelling,reproach",406,facts,4,"judgemental,fault",89
25,actually you prefer to cry alone so,1,"interpretation,morality",366,facts,4,judgemental,87
26,actually i m gay,4,fact,208,facts,4,fact,56
27,actually you re just a simple drunkard,0,"labelling,reproach",406,facts,4,"judgemental,fault",89
28,admit that you like to be the center of attention in society,1,"interpretation,morality",366,facts,4,judgemental,87
29,admit your mistakes sometimes,2,"generalisation,reproach",334,"facts,proposals",12,"judgemental,fault",89
30,after all i ve done for you,1,"generalisation,reproach",334,facts,4,"judgemental,fault",89
31,after all of this time i m still so crazy for you,3,"positivebias,feeling",474,"facts,emotions",5,"positivebias,feeling",132
32,after all you re nothing but a demon,0,"labelling,morality",393,facts,4,judgemental,87
33,after dinner i made sure that everything is ready for the next day,4,"fact,selfempathy",250,facts,4,"fact,feeling",58
34,after finishing work i go straight home,4,fact,208,facts,4,fact,56
35,from an experienced editor it s just shameful,0,"generalisation,reproach",334,facts,4,"judgemental,fault",89
36,after she started to vomit she realised the food she ate for lunch was past its sell by date,4,fact,208,facts,4,fact,56
37,after sleeping for twelve hours i feel full of energy,4,"positivebias,selfempathy,feeling",489,"facts,emotions",5,"positivebias,feeling",132
38,after the long hot night we spent together i feel exhausted,4,"positivebias,selfempathy,feeling",489,"facts,emotions",5,"positivebias,feeling",132
39,after the one week survey completion deadline we will evaluate all the data and give you the general results including any action being taken or additional materials,4,fact,208,"facts,proposals",12,fact,56
40,after this dance i m full of energy,4,"positivebias,selfempathy,feeling",489,"facts,emotions",5,"positivebias,feeling",132
41,after this good news i m in a happy mood,4,"positivebias,selfempathy,empathy",488,"facts,emotions",5,"empathy,positivebias,feeling",40
42,after this long talk i m tired and need to recharge,5,"positivebias,selfempathy,feeling,need",491,"facts,emotions",5,"positivebias,need,feeling",134
43,after this meal i feel full,5,"positivebias,selfempathy,feeling",489,facts,4,"positivebias,feeling",132
44,after this spa treatment i feel regenerated,5,"positivebias,selfempathy,feeling",489,"facts,emotions",5,"positivebias,feeling",132
45,after yesterday s argument i feel defensive,4,"positivebias,selfempathy,feeling",489,"facts,emotions",5,"positivebias,feeling",132
46,after yesterday s events i feel desperate,5,"positivebias,selfempathy,feeling",489,"facts,emotions",5,"positivebias,feeling",132
47,again you re talking nonsense,1,"generalisation,provocation",330,facts,4,"provocation,judgemental",145
48,ah that s the one i was looking for love kisses,4,"positivebias,feeling",474,"facts,emotions",5,"positivebias,feeling",132
49,ah so adults can mess with kids whenever they want they feel like they re the only ones who are right and know what to do,1,"generalisation,provocation",330,facts,4,"provocation,judgemental",145
50,all bitches,0,"labelling,provocation",401,facts,4,"provocation,judgemental",145
51,all i ever want is to make you happy,4,"positivebias,empathy",469,facts,4,"empathy,positivebias",39
52,all i get is a lecture from you,2,"generalisation,reproach",334,facts,4,"judgemental,fault",89
53,is that asking too much ?,1,"generalisation,reproach",334,facts,4,"judgemental,fault",89
54,all i want to do is spend my days being with you laughing with you and adoring you,4,"positivebias,feeling",474,facts,4,"positivebias,feeling",132
55,all is well,4,"positivebias,selfempathy",487,facts,4,"positivebias,feeling",132
56,all my exes are crazy,2,"labelling,morality",393,facts,4,judgemental,87
57,all my exes are crazy,2,"labelling,morality",393,facts,4,judgemental,87
58,all my friends play cricket,3,generalisation,303,facts,4,judgemental,87
59,all of a r rahman s songs became hits,3,generalisation,303,facts,4,judgemental,87
60,all of mia s songs became popular around the world,3,generalisation,303,facts,4,judgemental,87
61,all of them are brave,3,positivebias,461,facts,4,positivebias,131
62,all of them are educated,3,generalisation,303,facts,4,judgemental,87
63,all of them went there,3,generalisation,303,facts,4,judgemental,87
64,all of us are sinners,2,"generalisation,morality",322,facts,4,judgemental,87
65,all of us learn from our failures,4,positivebias,461,facts,4,positivebias,131
66,all of us want to live as long as possible,3,generalisation,303,"facts,proposals",12,judgemental,87
67,all of you are babies,1,"generalisation,reproach",334,facts,4,"judgemental,fault",89
68,all of you are welcome,4,empathy,176,facts,4,empathy,11
69,all our efforts were in vain,2,"generalisation,morality",322,facts,4,judgemental,87
70,all the best,4,empathy,176,facts,4,empathy,11
71,all the cattle died in the disaster,4,fact,208,facts,4,fact,56
72,all the dogs survived,4,fact,208,facts,4,fact,56
73,all the good in my life is because of you,4,positivebias,461,facts,4,positivebias,131
74,all the important decisions in my life have been made by others,2,"generalisation,morality",322,facts,4,judgemental,87
75,all the more reason to say that you are wrong,1,"generalisation,reproach",334,facts,4,"judgemental,fault",89
76,all the pots and pans are dirty,3,"fact,generalisation",235,facts,4,"fact,judgemental",59
77,all these people are thieves,2,"generalisation,morality",322,facts,4,judgemental,87
78,all these years of friendship and you re nothing but a criminal,0,"labelling,reproach",406,facts,4,"judgemental,fault",89
79,all this is boring,2,"generalisation,morality",322,emotions,0,judgemental,87
80,all this is perfectly laughable,2,"generalisation,morality",322,facts,4,judgemental,87
81,all this is useless,2,"generalisation,reproach",334,facts,4,"judgemental,fault",89
82,all this will end badly,2,"generalisation,reproach",334,"facts,proposals",12,"judgemental,fault",89
83,all three laundry baskets are full,4,fact,208,facts,4,fact,56
84,all three of you are irredeemable assholes and lying pricks,0,"labelling,provocation",401,facts,4,"provocation,judgemental",145
85,all you deserve is a slap in the face,0,"deserves,reproach",159,facts,4,fault,63
86,all you are is a cancer,0,"labelling,provocation",401,facts,4,"provocation,judgemental",145
87,all you care about is being right,1,"interpretation,reproach",374,facts,4,"judgemental,fault",89
88,all you care about is money,1,"interpretation,reproach",374,facts,4,"judgemental,fault",89
89,all you do is complain,1,"generalisation,reproach",334,facts,4,"judgemental,fault",89
90,all you do is criticise others,1,"generalisation,reproach",334,facts,4,"judgemental,fault",89
91,all you do is cry,1,"generalisation,reproach",334,facts,4,"judgemental,fault",89
92,all you do is fuck about,1,"generalisation,reproach",334,facts,4,"judgemental,fault",89
93,all you do is get upset all the time,1,"generalisation,reproach",334,facts,4,"judgemental,fault",89
94,all you do is goof around,1,"generalisation,reproach",334,facts,4,"judgemental,fault",89
95,all you do is mistreat me,0,"generalisation,reproach",334,facts,4,"judgemental,fault",89
96,all you do is play violent games,2,"generalisation,reproach",334,facts,4,"judgemental,fault",89
97,you selfish slime,0,"labelling,reproach",406,facts,4,"judgemental,fault",89
98,all you do is use people and manipulate them,1,"generalisation,reproach",334,facts,4,"judgemental,fault",89
99,all you know how to do is blame me,1,"generalisation,reproach",334,facts,4,"judgemental,fault",89
100,all you know how to do is pull faces,1,"generalisation,reproach",334,facts,4,"judgemental,fault",89
101,all you think about is having fun,2,"generalisation,reproach",334,facts,4,"judgemental,fault",89
102,allowing you to survive childbirth was medical malpractice,0,"unsolicited,provocation",710,facts,4,"provocation,unsolicited",151
103,always and always late,1,"generalisation,reproach",334,facts,4,"judgemental,fault",89
104,always complaining,1,"generalisation,reproach",334,facts,4,"judgemental,fault",89
105,always one step forward and two steps back,1,"generalisation,reproach",334,facts,4,"judgemental,fault",89
106,always sucking up to the boss huh ?,0,"generalisation,reproach",334,facts,4,"judgemental,fault",89
107,always always and still angry that s all you know how to do,1,"generalisation,reproach",334,facts,4,"judgemental,fault",89
108,am i hearing that you feel disappointed and would like some recognition and appreciation for all your courage and hard work ?,5,empathy,176,facts,4,empathy,11
109,am i hearing you right ?,4,"clarity,empathy",89,proposals,18,empathy,11
110,am i on the right track with this conversation ?,4,empathy,176,facts,4,empathy,11
111,am i right in thinking that there is some need for creativity in this ?,5,"empathy,need",203,"facts,needs",10,"empathy,need",33
112,america first and fuck the rest,1,"generalisation,provocation",330,facts,4,"provocation,judgemental",145
113,and then there are these bitches who got all of them,0,provocation,494,facts,4,provocation,138
114,and a slap in your face ?,0,"deserves,provocation",158,facts,4,"provocation,fault",140
115,and are you happy because you need to be heard ?,5,"empathy,need",203,proposals,18,"empathy,need",33
116,and do you worry because you would like the children to have a stable family ?,5,empathy,176,"facts,proposals",12,empathy,11
117,and i do not usually talk to morons but here we are,0,"generalisation,provocation",330,facts,4,"provocation,judgemental",145
118,and i really need some space because i m in a lot of pain right now,5,"selfempathy,need",623,"needs,emotions,facts",16,"need,feeling",98
119,and if i lay across your lap with my butt in the air would you want to spank me ?,4,"activity,person,action,thismany,positive,realistic",16,proposals,18,"realistic,positive,precise",170
120,and it s sure that one day you ll leave,2,"interpretation,reproach",374,facts,4,"judgemental,fault",89
121,and on top of that i m being accused,1,"sacrifice,reproach",606,facts,4,fault,63
122,and suddenly all the love songs were about you,4,positivebias,461,facts,4,positivebias,131
123,and then do you think i ll let you do it ?,1,"sacrifice,reproach",606,facts,4,fault,63
124,and then what,1,"unavailable,reproach",632,facts,4,fault,63
125,and then there s no point in going to bed when you re not tired,2,"generalisation,morality",322,facts,4,judgemental,87
126,and then,1,"unavailable,reproach",632,facts,4,fault,63
127,awhat image will they have of you ?,1,"generalisation,reproach",334,facts,4,"judgemental,fault",89
128,and would you like your son to have the family he wants ?,5,empathy,176,"facts,proposals",12,empathy,11
129,and you ca not even guess ?,2,reproach,561,facts,4,fault,63
130,and you need to trust that someone trying to teach you something understands the dangers around here ?,3,clarity,86,facts,4,empathy,11
131,and you have you seen how you are dressed ?,0,"comparison,reproach",107,facts,4,"judgemental,fault",89
132,and you what do you think of your upcoming dismissal ?,2,provocation,494,facts,4,provocation,138
133,and you re getting a lot of wrong ideas about how i feel,2,interpretation,355,facts,4,judgemental,87
134,and you re getting so tired of it that you do not talk to me anymore or you talk like shit,1,"interpretation,provocation",371,facts,4,"provocation,judgemental",145
135,anger is a normal feeling but you can surely control it,2,unsolicited,635,facts,4,unsolicited,202
136,anonymisation is a technique that irreversibly alters data,4,fact,208,facts,4,fact,56
137,anonymity and pseudonymity are not the same methods,4,fact,208,facts,4,fact,56
